movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class,-1,-1
a-quiet-passion,77,1.865396,04/14/2017,135,1.14009782029,6.3,0.115178571429,0,-1,-1
joan-didion-the-center-will-not-hold,72,0.0,10/27/2017,0,-0.0410334346504,0,0.0714285714286,0,-1,-1
brawl-in-cell-block-99,79,0.0,10/06/2017,0,2.63186689167,7.4,0.693635748138,0,-1,-1
in-transit,88,0.0,06/23/2017,0,0.393093222057,4.8,0.865714285714,0,-1,-1
youth-2017,69,1.891956,12/15/2017,35,1.07999544694,0,1.32198862657,0,-1,-1
one-week-and-a-day,72,0.041614,04/28/2017,16,0.0,0,0.0267857142857,0,-1,-1
radio-dreams,74,0.027836,05/19/2017,5,0.23538961039,0,1.07142857143,0,-1,-1
the-founder,66,12.786053,01/20/2017,1115,1.33934489815,7.3,0.181318681319,0,-1,-1
the-departure,85,0.024662,10/13/2017,7,0.396402939166,0,0.235714285714,0,-1,-1
harold-and-lillian-a-hollywood-love-story,75,0.078301,04/28/2017,6,0,0,0.0,0,-1,-1
wait-for-your-laugh,70,0.073585,11/03/2017,5,1.27021738279,0,0.642857142857,0,-1,-1
brimstone-glory,70,0.032059,10/27/2017,8,0,0,0,0,-1,-1
violet,77,0.0,05/12/2017,0,0.779444624343,0,1.93883661249,0,-1,-1
raw,81,0.51487,03/10/2017,45,-0.0,7.4,0.0,0,-1,-1
super-dark-times,75,0.033109,09/29/2017,21,0.604161587497,7.2,0.647672552167,0,-1,-1
escapes,72,0.017778,07/26/2017,4,1.80892867206,0,0.493788819876,0,-1,-1
lady-bird,94,48.958273,11/03/2017,1557,0.899632889159,7.4,3.1848016848,1,5,5
blade-runner-2049,81,92.054159,10/06/2017,4058,1.01324559117,8.2,0.0593642782557,0,-1,-1
4-days-in-france,73,0.012273,08/04/2017,2,0.0,0,0.0714285714286,0,-1,-1
sieranevada,82,0.0,09/03/2017,0,-1.20178571429,6.3,0.428571428571,0,-1,-1
son-of-joseph,75,0.030588,01/13/2017,3,0,0,0,0,-1,-1
clash,78,0.018215,08/25/2017,1,1.28639757066,7.3,1.25162337662,0,-1,-1
raising-bertie,74,0.0,06/09/2017,0,0.0,0,0.0,0,-1,-1
the-lego-batman-movie,75,175.750384,02/10/2017,4088,1.35835802704,7.6,0.519480519481,0,-1,-1
tramps,77,0.0,04/21/2017,0,0.569166256626,7.5,0.227513227513,0,-1,-1
stronger,76,4.211129,09/22/2017,645,1.13379810897,7.5,1.1661900429,0,-1,-1
